epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,5225.67,1.10779,0.78935,1.38369,0.96471,0.87172,0.88999,0.57772,1.0392,0.67369,1.35228,0.0204778,0.00682593,0.0204778,0.00682593,0.0204778,0.00682593,0.0204778,0.00682593
12,5695.54,1.07679,0.76898,1.35733,0.96504,0.88313,0.89473,0.58458,1.02031,0.6594,1.33455,0.0195256,0.00650853,0.0195256,0.00650853,0.0195256,0.00650853,0.0195256,0.00650853
13,6159.66,1.05457,0.75051,1.34318,0.96291,0.88779,0.89878,0.59823,0.99176,0.63451,1.30922,0.0185734,0.00619112,0.0185734,0.00619112,0.0185734,0.00619112,0.0185734,0.00619112
14,6603.53,1.03059,0.72686,1.32089,0.96217,0.88842,0.90264,0.6194,0.94233,0.61717,1.27517,0.0176211,0.00587371,0.0176211,0.00587371,0.0176211,0.00587371,0.0176211,0.00587371
15,7065.89,1.00161,0.71341,1.29985,0.96896,0.8857,0.90354,0.62556,0.91779,0.61185,1.24982,0.0166689,0.00555631,0.0166689,0.00555631,0.0166689,0.00555631,0.0166689,0.00555631
16,7532.08,0.9767,0.69718,1.27917,0.97101,0.88847,0.90399,0.64035,0.89554,0.59605,1.23318,0.0157167,0.0052389,0.0157167,0.0052389,0.0157167,0.0052389,0.0157167,0.0052389
17,8000.49,0.9532,0.68208,1.25988,0.96964,0.8901,0.90855,0.65159,0.85848,0.58194,1.20596,0.0147645,0.00492149,0.0147645,0.00492149,0.0147645,0.00492149,0.0147645,0.00492149
18,8462.06,0.9207,0.65981,1.23554,0.96671,0.89648,0.90954,0.66435,0.83144,0.57417,1.18363,0.0138123,0.00460409,0.0138123,0.00460409,0.0138123,0.00460409,0.0138123,0.00460409
19,8929.87,0.89946,0.65229,1.22013,0.9723,0.89277,0.91444,0.67681,0.81223,0.56927,1.16655,0.01286,0.00428668,0.01286,0.00428668,0.01286,0.00428668,0.01286,0.00428668
20,9399.23,0.88089,0.63664,1.20427,0.97466,0.89281,0.91387,0.68667,0.78616,0.55321,1.1449,0.0119078,0.00396927,0.0119078,0.00396927,0.0119078,0.00396927,0.0119078,0.00396927
21,9872.11,0.81186,0.51886,1.17876,0.96948,0.89445,0.91246,0.69925,0.75531,0.55107,1.12125,0.0109556,0.00365187,0.0109556,0.00365187,0.0109556,0.00365187,0.0109556,0.00365187
22,10340.9,0.77827,0.50015,1.15079,0.97176,0.89689,0.9138,0.71178,0.71877,0.53663,1.09469,0.0100034,0.00333446,0.0100034,0.00333446,0.0100034,0.00333446,0.0100034,0.00333446
23,10800.9,0.74885,0.48646,1.12623,0.9743,0.89674,0.91448,0.7203,0.69557,0.52064,1.0786,0.00905116,0.00301705,0.00905116,0.00301705,0.00905116,0.00301705,0.00905116,0.00301705
24,11274.6,0.71396,0.46642,1.09961,0.97327,0.8986,0.9171,0.73433,0.66718,0.50907,1.0584,0.00809894,0.00269965,0.00809894,0.00269965,0.00809894,0.00269965,0.00809894,0.00269965
25,11732.7,0.68357,0.45736,1.07622,0.97114,0.89929,0.91656,0.73887,0.65129,0.50681,1.04609,0.00714672,0.00238224,0.00714672,0.00238224,0.00714672,0.00238224,0.00714672,0.00238224
26,12203.6,0.6564,0.44312,1.05431,0.97088,0.90234,0.91758,0.74522,0.63425,0.497,1.03256,0.0061945,0.00206483,0.0061945,0.00206483,0.0061945,0.00206483,0.0061945,0.00206483
27,12659.3,0.62931,0.43726,1.03618,0.96993,0.90321,0.92077,0.75475,0.61736,0.49148,1.0206,0.00524228,0.00174743,0.00524228,0.00174743,0.00524228,0.00174743,0.00524228,0.00174743
28,13163.4,0.60392,0.42078,1.01518,0.96875,0.90235,0.92167,0.75913,0.6055,0.48975,1.01118,0.00429006,0.00143002,0.00429006,0.00143002,0.00429006,0.00143002,0.00429006,0.00143002
29,13629,0.58251,0.41854,1.00004,0.96731,0.90476,0.92229,0.76344,0.59272,0.48618,1.00224,0.00333784,0.00111261,0.00333784,0.00111261,0.00333784,0.00111261,0.00333784,0.00111261
30,14105.7,0.55934,0.40067,0.98301,0.97201,0.90129,0.92225,0.76755,0.58082,0.48216,0.99486,0.00238562,0.000795207,0.00238562,0.000795207,0.00238562,0.000795207,0.00238562,0.000795207
