epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,532.596,1.47696,2.00855,1.71659,0.88201,0.75993,0.79754,0.40287,1.41813,1.14739,1.67663,0.00997828,0.00332609,0.00997828,0.00332609,0.00997828,0.00332609,0.00997828,0.00332609
2,1022.88,1.34656,1.16012,1.58893,0.90612,0.78198,0.82124,0.42827,1.38142,1.04381,1.65064,0.0193266,0.00644221,0.0193266,0.00644221,0.0193266,0.00644221,0.0193266,0.00644221
3,1489.56,1.35646,1.16583,1.59637,0.91245,0.78435,0.82001,0.44353,1.34473,0.99344,1.61332,0.0280413,0.00934711,0.0280413,0.00934711,0.0280413,0.00934711,0.0280413,0.00934711
4,1972.14,1.33443,1.10939,1.5726,0.92313,0.79788,0.84184,0.46315,1.29853,0.96601,1.57459,0.0271433,0.00904778,0.0271433,0.00904778,0.0271433,0.00904778,0.0271433,0.00904778
5,2408.18,1.29053,1.01782,1.53266,0.93255,0.84036,0.86022,0.48475,1.26747,0.85308,1.53675,0.0261911,0.00873037,0.0261911,0.00873037,0.0261911,0.00873037,0.0261911,0.00873037
6,2879.44,1.25495,0.96115,1.50109,0.94002,0.84778,0.86458,0.5036,1.20303,0.80333,1.49422,0.0252389,0.00841297,0.0252389,0.00841297,0.0252389,0.00841297,0.0252389,0.00841297
7,3337.4,1.21877,0.8933,1.4763,0.95321,0.85022,0.87315,0.51669,1.1955,0.77054,1.48418,0.0242867,0.00809556,0.0242867,0.00809556,0.0242867,0.00809556,0.0242867,0.00809556
8,3786.54,1.18428,0.86237,1.4469,0.95106,0.86284,0.88274,0.53858,1.14538,0.74519,1.44241,0.0233345,0.00777815,0.0233345,0.00777815,0.0233345,0.00777815,0.0233345,0.00777815
9,4271.12,1.16054,0.83673,1.42466,0.9609,0.8658,0.88612,0.55092,1.10993,0.71803,1.40504,0.0223822,0.00746075,0.0223822,0.00746075,0.0223822,0.00746075,0.0223822,0.00746075
10,4748.74,1.13276,0.80779,1.40092,0.95885,0.87257,0.88498,0.55813,1.07756,0.70947,1.3866,0.02143,0.00714334,0.02143,0.00714334,0.02143,0.00714334,0.02143,0.00714334
