epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,528.766,1.76136,2.11637,1.66265,0.88545,0.7529,0.80003,0.40273,1.68192,1.25902,1.63205,0.00998913,0.00332971,0.00998913,0.00332971,0.00998913,0.00332971,0.00998913,0.00332971
2,1017.25,1.59701,1.22515,1.53206,0.92284,0.7896,0.83169,0.4277,1.66001,1.05714,1.60483,0.0193661,0.00645537,0.0193661,0.00645537,0.0193661,0.00645537,0.0193661,0.00645537
3,1499.86,1.61286,1.23635,1.53904,0.84304,0.7137,0.77098,0.389,1.70535,1.25093,1.63781,0.0281272,0.00937572,0.0281272,0.00937572,0.0281272,0.00937572,0.0281272,0.00937572
4,1947.17,1.5967,1.186,1.52664,0.92694,0.80313,0.84424,0.46007,1.56146,0.97538,1.53215,0.0272264,0.00907548,0.0272264,0.00907548,0.0272264,0.00907548,0.0272264,0.00907548
5,2408.97,1.53467,1.07028,1.48393,0.93685,0.81186,0.85141,0.46605,1.54505,0.92735,1.50892,0.0263019,0.00876731,0.0263019,0.00876731,0.0263019,0.00876731,0.0263019,0.00876731
6,2941.59,1.4811,0.99741,1.44514,0.94631,0.84219,0.86757,0.48899,1.49625,0.83893,1.47296,0.0253774,0.00845913,0.0253774,0.00845913,0.0253774,0.00845913,0.0253774,0.00845913
7,3382.89,1.44208,0.95031,1.41776,0.94621,0.85482,0.87845,0.49857,1.48528,0.82378,1.47206,0.0244529,0.00815096,0.0244529,0.00815096,0.0244529,0.00815096,0.0244529,0.00815096
8,3850.13,1.3931,0.89471,1.38632,0.94696,0.86155,0.87814,0.51862,1.42021,0.81011,1.42413,0.0235284,0.00784279,0.0235284,0.00784279,0.0235284,0.00784279,0.0235284,0.00784279
9,4308.81,1.37215,0.8704,1.36916,0.95186,0.87124,0.88433,0.53183,1.37413,0.74848,1.39835,0.0226038,0.00753461,0.0226038,0.00753461,0.0226038,0.00753461,0.0226038,0.00753461
10,4905.73,1.32892,0.84469,1.34476,0.95316,0.86847,0.88016,0.53864,1.34716,0.73918,1.3803,0.0216793,0.00722644,0.0216793,0.00722644,0.0216793,0.00722644,0.0216793,0.00722644
11,5366.5,1.29636,0.80624,1.32358,0.9599,0.87431,0.89174,0.55205,1.32097,0.71221,1.35959,0.0207548,0.00691827,0.0207548,0.00691827,0.0207548,0.00691827,0.0207548,0.00691827
12,5825.41,1.26842,0.79033,1.30647,0.96051,0.87588,0.8962,0.56224,1.28837,0.7019,1.3408,0.0198303,0.00661009,0.0198303,0.00661009,0.0198303,0.00661009,0.0198303,0.00661009
13,6301.36,1.23628,0.77789,1.28385,0.96287,0.87752,0.89884,0.57726,1.26459,0.68046,1.32062,0.0189058,0.00630192,0.0189058,0.00630192,0.0189058,0.00630192,0.0189058,0.00630192
14,6774.69,1.19858,0.74809,1.26043,0.96483,0.88099,0.89892,0.58179,1.22419,0.66505,1.30053,0.0179812,0.00599375,0.0179812,0.00599375,0.0179812,0.00599375,0.0179812,0.00599375
15,7238.19,1.16718,0.72644,1.24107,0.9684,0.88689,0.90291,0.59525,1.19146,0.65143,1.27895,0.0170567,0.00568557,0.0170567,0.00568557,0.0170567,0.00568557,0.0170567,0.00568557
16,7699.75,1.14147,0.71626,1.22315,0.96587,0.88898,0.9023,0.60991,1.14876,0.63615,1.25314,0.0161322,0.0053774,0.0161322,0.0053774,0.0161322,0.0053774,0.0161322,0.0053774
17,8175.06,1.11275,0.6921,1.20584,0.9686,0.88825,0.90532,0.62186,1.11353,0.63011,1.22188,0.0152077,0.00506923,0.0152077,0.00506923,0.0152077,0.00506923,0.0152077,0.00506923
18,8637.14,1.08386,0.69115,1.19048,0.96415,0.89436,0.91019,0.63507,1.08535,0.6257,1.20419,0.0142832,0.00476105,0.0142832,0.00476105,0.0142832,0.00476105,0.0142832,0.00476105
19,9094.32,1.05556,0.67737,1.17087,0.9681,0.89719,0.90765,0.64154,1.06066,0.60687,1.1908,0.0133586,0.00445288,0.0133586,0.00445288,0.0133586,0.00445288,0.0133586,0.00445288
