epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,30549.3,1.42836,3.80881,1.4958,0.96302,0.89352,0.90494,0.56845,1.33598,2.59141,1.46069,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,31031,1.42688,3.75451,1.49473,0.96529,0.89002,0.90469,0.57146,1.33017,2.59137,1.45753,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,31514.7,1.41746,3.75594,1.49466,0.96566,0.89454,0.90498,0.57337,1.32221,2.56649,1.45188,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,31989.2,1.41447,3.72308,1.48957,0.96705,0.8937,0.90643,0.57658,1.31231,2.52688,1.44475,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,32463.7,1.41155,3.75277,1.48594,0.96842,0.89401,0.90824,0.57719,1.30533,2.5123,1.44117,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,32948.7,1.39934,3.67055,1.4761,0.96804,0.89568,0.90783,0.57901,1.29778,2.51367,1.43571,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,33420.6,1.39631,3.63069,1.47228,0.9681,0.89727,0.90845,0.58181,1.29239,2.5093,1.4324,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,33912.9,1.39394,3.68949,1.47511,0.96873,0.89609,0.90976,0.58318,1.28814,2.49959,1.42995,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,34386.8,1.38715,3.63105,1.47237,0.96883,0.89846,0.91125,0.58626,1.28374,2.47978,1.42702,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,34870.4,1.38337,3.60022,1.46567,0.96862,0.89981,0.91141,0.58674,1.28117,2.46549,1.42524,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
