epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,758.116,2.11963,13.896,1.91812,0.76582,0.61563,0.65659,0.28586,1.88493,8.00716,1.75954,0.00999275,0.00333092,0.00999275,0.00333092,0.00999275,0.00333092,0.00999275,0.00333092
2,1303.1,1.84992,8.2364,1.70231,0.76233,0.64633,0.66919,0.27137,2.01073,6.55911,1.89912,0.0197948,0.00659827,0.0197948,0.00659827,0.0197948,0.00659827,0.0197948,0.00659827
3,1876.95,1.86499,8.00927,1.72719,0.83508,0.66831,0.71661,0.32432,1.83499,5.99565,1.73942,0.0293989,0.00979963,0.0293989,0.00979963,0.0293989,0.00979963,0.0293989,0.00979963
4,2420.81,1.85405,7.63273,1.73376,0.81106,0.71702,0.74878,0.35049,1.81963,5.32245,1.76183,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2888.1,1.78619,6.95875,1.68339,0.86983,0.74591,0.7918,0.39789,1.75392,4.87733,1.7022,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3411.95,1.75633,6.53769,1.65576,0.91088,0.76508,0.81951,0.40216,1.73586,4.47671,1.68134,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3853.75,1.72522,6.22784,1.63566,0.90734,0.78104,0.82872,0.41667,1.72408,4.24086,1.70344,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4316.23,1.7043,5.97752,1.62127,0.90582,0.79916,0.83398,0.41587,1.7012,4.18172,1.65556,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4870.48,1.69017,5.90553,1.60891,0.92607,0.79801,0.84262,0.41914,1.7002,4.17081,1.6563,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5392.47,1.67253,5.71441,1.598,0.91893,0.82764,0.85419,0.429,1.70022,3.82181,1.63697,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5834.84,1.66684,5.57975,1.58661,0.92422,0.8285,0.85755,0.42902,1.7044,3.77375,1.65339,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6349.88,1.65359,5.55256,1.57307,0.93724,0.82654,0.85989,0.44399,1.65766,3.78564,1.61121,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6860.31,1.64197,5.41734,1.56581,0.94599,0.82341,0.85938,0.45192,1.63644,3.60532,1.59735,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7370.63,1.63075,5.3029,1.56324,0.91277,0.83565,0.8623,0.46771,1.59448,3.57634,1.57248,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7831.06,1.62363,5.24252,1.55331,0.94103,0.84844,0.86901,0.46462,1.5908,3.45313,1.55942,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8496.77,1.62156,5.23384,1.55087,0.94249,0.84577,0.86871,0.46841,1.59369,3.37858,1.56528,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8930.35,1.60834,5.12279,1.54042,0.9461,0.84383,0.86974,0.47129,1.59015,3.39545,1.56077,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9549.44,1.60838,5.09609,1.53842,0.95078,0.85144,0.87632,0.47338,1.57838,3.3633,1.54252,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,10101.4,1.58477,4.94794,1.52019,0.94839,0.85256,0.87471,0.4923,1.53371,3.23759,1.52294,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10667,1.58256,4.95267,1.52252,0.95304,0.85771,0.87731,0.49301,1.53806,3.22855,1.52481,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,11223.2,1.5792,4.90801,1.51781,0.95245,0.85946,0.87828,0.49735,1.52227,3.19406,1.51495,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,11793.7,1.57459,4.85065,1.51089,0.95087,0.86211,0.88383,0.49659,1.52826,3.1454,1.5158,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
